model,year,motor_type,running,color,type,status,motor_volume,price
0,0.6368890554603677,3,-0.6001388875014987,1,1.0,3.0,-0.13841630326565363,-0.011518613828566667
0,-0.2741942862552568,3,1.09676156276102,14,1.0,2.0,-0.13841630326565363,-0.9733386586009429
1,0.7887362790796384,3,-0.6833202821222104,2,1.0,3.0,-0.13841630326565363,0.3509063305784157
0,0.33319460822182617,3,-0.488029714899912,2,1.0,3.0,-0.13841630326565363,-0.2903070326031685
0,0.7887362790796384,1,-1.0772575341774502,7,1.0,3.0,-0.13841630326565363,0.07211791180381387
4,0.7887362790796384,3,-0.9428722420615204,16,1.0,3.0,-0.13841630326565363,1.0757562193923804
4,0.7887362790796384,3,-0.9221975817359928,7,1.0,3.0,-0.13841630326565363,0.7969678006177786
1,-0.729735957113069,3,0.06531226946419498,16,,3.0,-0.13841630326565363,-1.1127328679882438
4,0.7887362790796384,3,-1.2312028559309902,16,1.0,3.0,-0.13841630326565363,0.9781802728212697
4,0.6368890554603677,3,-1.2157777583584854,7,1.0,3.0,-0.13841630326565363,1.187271586902221
3,0.7887362790796384,3,-0.7981496197828268,14,1.0,3.0,-0.13841630326565363,0.0024208071101634227
3,0.6368890554603677,3,-0.5190417053882035,16,4.0,3.0,-0.13841630326565363,0.9363620100050795
4,0.18134738460255542,3,-0.8188242801083545,1,1.0,3.0,-1.7194915725679376,0.14181501649746434
3,0.6368890554603677,3,-0.7332291188946375,2,4.0,3.0,-0.13841630326565363,0.4484822771495263
4,0.9405835026989091,3,-0.8995919081360608,1,1.0,3.0,-0.13841630326565363,-0.0324277452366618
2,-1.0334304043516105,1,1.8688815622102413,14,1.0,2.0,5.790615956617913,-0.6666713979488809
2,-1.4889720752094227,1,1.0418951491891348,16,1.0,2.0,-0.13841630326565363,-1.3636424448853854
2,-4.222222100356296,1,1.765508260582603,4,1.0,3.0,-0.13841630326565363,-1.5378852066195114
2,0.18134738460255542,3,0.008162132912751856,1,1.0,3.0,-0.13841630326565363,1.7448484244514246
0,0.4850418318410969,3,0.08194854838833729,1,1.0,3.0,-0.13841630326565363,-0.34606471635808883
2,-0.2741942862552568,3,0.04951145356380717,13,1.0,3.0,-0.13841630326565363,-0.4171557631456123
2,0.02950016098328468,3,-0.30195777197016305,16,1.0,3.0,-0.13841630326565363,-0.0324277452366618
3,0.6368890554603677,3,-0.10105051977722852,1,4.0,3.0,1.8379277833622016,0.4624216980882564
